Timestamp,"Have you been scammed before? 
Pernahkah ada di tipu secara online sebelum ini?","What is your age group?
Apakah kumpulan umur anda?","What is your gender?
Apakah jantina anda?","What is your highest level of education?
Apakah tahap pendidikan tertinggi anda?","What is your employment status?
Apakah status pekerjaan anda?","How much is your income?
Berapakah gaji anda?
(Ex : 1000)","How often do you use the internet?
Berapa kerapkah anda menggunakan internet?","What type of online platforms do you use most frequently? 
Apakah jenis platform dalam talian yang paling kerap digunakan oleh anda?","On average how many hours do you spend online daily? (Enter a number only)
Anggaran, berapa jam anda meluangkan masa dalam talian setiap hari? (Masukkan nombor sahaja)  ","How many times do you usually interact with strangers online?
Berapa kali anda biasanya berinteraksi dengan orang yang tidak dikenali dalam talian?","On average, how many online transactions do you complete per month? (Enter a number only)
Secara purata, berapa banyak transaksi dalam talian yang anda lengkapkan setiap bulan? (Masukkan nombor sahaja)  ","How many different social media account do you actively use? (Enter a number only)
Berapa banyak akaun media sosial yang anda gunakan secara aktif? (Masukkan nombor sahaja)  ","How many email accounts do you have? (Enter a number only)
Berapa banyak akaun emel yang anda gunakan? (Masukkan nombor sahaja)  ","Do you usually share your personal information online?
(Example : Name, Phone Number)
Adakah anda biasanya berkongsi maklumat peribadi anda dalam talian?
(Contoh : Nama, Nombor Telefon)  ","How many different password do you have? (Enter a number only)
Berapa banyak kata laluan berbeza yang anda ada? (Masukkan nombor sahaja)  ","How many times have you downloaded something not from a trusted source in the past month?
(Trusted source for example are Google Play Store and Apple Store)
Berapa kali anda telah memuat turun sesuatu yang bukan daripada sumber yang dipercayai pada beberapa bulan lalu? 
(Sumber yang dipercayai contohnya ialah Google Play Store dan Apple Store) 
(EX: 3)","When you receive suspicious email or call what do you usually do?
Apabila anda menerima e-mel atau panggilan yang mencurigakan, apakah yang biasa anda lakukan?","How many online subscriptions do you currently have? (Enter a number only) 
Berapa banyak langganan dalam talian yang anda miliki sekarang? (Masukkan nombor sahaja) ","Do you usually read reviews before you buy something?
Adakah anda biasanya membaca ulasan sebelum anda membeli sesuatu?","How much are you willing to spend on a single online transactions?
Berapa banyak yang anda sanggup belanjakan untuk satu transaksi dalam talian? (Ex : 150) "
1/9/2025 23:05:34,Yes | Ya,Above 45 | Lebih daripada 45,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Self-Employed | Bekerja Sendiri,2000,Daily | Harian,Social media | Sosial media,2,Never | Tidak Pernah,10,4,2,No | Tidak,3,0,Delete it / Block | Sekat,2,No | Tidak,300
1/9/2025 23:05:38,Yes | Ya,18-25,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,8,Rarely | Jarang,60,4,2,Yes | Ya,3,2,Ignore It | Abaikan,2,No | Tidak,1000
1/9/2025 23:05:42,No | Tidak,18-25,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,8,Occasionally | Kadang-kadang,50,3,4,No | Tidak,12,0,Ignore It | Abaikan,3,Yes | Ya,200
1/9/2025 23:05:46,Yes | Ya,18-25,Male | Lelaki,Diploma,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,10,Rarely | Jarang,30,4,4,Yes | Ya,4,2,Ignore It | Abaikan,0,Yes | Ya,150
1/9/2025 23:05:50,Yes | Ya,18-25,Female | Perempuan,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,7,Rarely | Jarang,60,3,3,Yes | Ya,5,3,Delete it / Block | Sekat,4,Yes | Ya,500
1/9/2025 23:05:54,Yes | Ya,18-25,Male | Lelaki,Secondary School | Sekolah Menengah,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),1900,Daily | Harian,Online banking | Perbankan atas talian,3,Rarely | Jarang,30,1,2,Yes | Ya,15,0,Delete it / Block | Sekat,1,No | Tidak,1000
1/9/2025 23:05:58,Yes | Ya,26-35,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,0,Daily | Harian,Online banking | Perbankan atas talian,4,Never | Tidak Pernah,100,2,2,No | Tidak,3,0,Ignore It | Abaikan,1,Yes | Ya,2000
1/9/2025 23:06:01,Yes | Ya,18-25,Female | Perempuan,Diploma,Self-Employed | Bekerja Sendiri,1800,Daily | Harian,Social media | Sosial media,10,Rarely | Jarang,50,3,1,Yes | Ya,3,1,Delete it / Block | Sekat,2,No | Tidak,100
1/9/2025 23:06:05,No | Tidak,18-25,Female | Perempuan,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,800,Daily | Harian,Social media | Sosial media,12,Occasionally | Kadang-kadang,20,2,3,No | Tidak,4,2,Ignore It | Abaikan,3,Yes | Ya,100
1/9/2025 23:06:09,Yes | Ya,18-25,Female | Perempuan,Diploma,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,9,Rarely | Jarang,20,5,2,No | Tidak,5,1,Ignore It | Abaikan,3,Yes | Ya,100
1/9/2025 23:06:13,Yes | Ya,18-25,Male | Lelaki,Diploma,Student | Pelajar,500,Daily | Harian,Gaming | Permainan,5,Frequently | Kerap,10,3,5,Yes | Ya,5,1,Respond and ask for more information | Balas dan minta lebih banyak maklumat,0,Yes | Ya,500
1/9/2025 23:06:17,Yes | Ya,18-25,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,5,Rarely | Jarang,400,3,6,No | Tidak,12,1,Delete it / Block | Sekat,1,Yes | Ya,50
1/9/2025 23:06:21,Yes | Ya,18-25,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,12,Occasionally | Kadang-kadang,10,3,5,Yes | Ya,3,0,Ignore It | Abaikan,1,No | Tidak,100
1/9/2025 23:06:24,Yes | Ya,18-25,Male | Lelaki,Diploma,Student | Pelajar,200,Rarely | Jarang,Social media | Sosial media,14,Rarely | Jarang,10,3,4,No | Tidak,10,0,Delete it / Block | Sekat,1,No | Tidak,50
1/9/2025 23:06:28,No | Tidak,18-25,Male | Lelaki,Diploma,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,2,Rarely | Jarang,13,1,3,No | Tidak,6,1,Ignore It | Abaikan,1,Yes | Ya,60
1/9/2025 23:06:32,No | Tidak,18-25,Female | Perempuan,Secondary School | Sekolah Menengah,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),3000,Daily | Harian,Social media | Sosial media,9,Rarely | Jarang,200,3,1,No | Tidak,3,0,Ignore It | Abaikan,1,Yes | Ya,100
1/9/2025 23:06:36,Yes | Ya,18-25,Male | Lelaki,Secondary School | Sekolah Menengah,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),1530,Daily | Harian,Gaming | Permainan,10,Occasionally | Kadang-kadang,350,5,2,Yes | Ya,3,7,Respond and ask for more information | Balas dan minta lebih banyak maklumat,2,No | Tidak,300
1/9/2025 23:06:40,Yes | Ya,18-25,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,0,Daily | Harian,Online banking | Perbankan atas talian,15,Rarely | Jarang,100,2,3,No | Tidak,3,3,Ignore It | Abaikan,1,Yes | Ya,100
1/9/2025 23:06:44,No | Tidak,18-25,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,8,Rarely | Jarang,50,2,2,No | Tidak,10,4,Ignore It | Abaikan,2,Yes | Ya,4000
1/9/2025 23:06:48,Yes | Ya,18-25,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,2,Rarely | Jarang,20,1,1,No | Tidak,2,2,Ignore It | Abaikan,3,Yes | Ya,200
1/9/2025 23:06:52,Yes | Ya,18-25,Female | Perempuan,Diploma,Student | Pelajar,1000,Daily | Harian,Social media | Sosial media,7,Occasionally | Kadang-kadang,400,3,3,Yes | Ya,2,4,Delete it / Block | Sekat,2,No | Tidak,50
1/9/2025 23:06:56,Yes | Ya,18-25,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,6,Rarely | Jarang,40,5,6,Yes | Ya,2,0,Ignore It | Abaikan,3,Yes | Ya,2000
1/9/2025 23:07:00,No | Tidak,18-25,Male | Lelaki,Diploma,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),2600,Daily | Harian,Social media | Sosial media,4,Rarely | Jarang,10,3,2,No | Tidak,1,4,Ignore It | Abaikan,1,No | Tidak,200
1/9/2025 23:07:04,Yes | Ya,18-25,Female | Perempuan,Bachelor Degree | Ijazah Sarjana Muda,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),2500,Daily | Harian,Social media | Sosial media,9,Rarely | Jarang,20,3,3,No | Tidak,5,0,Ignore It | Abaikan,0,No | Tidak,50
1/9/2025 23:07:08,Yes | Ya,18-25,Female | Perempuan,Diploma,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),2000,Daily | Harian,Social media | Sosial media,8,Occasionally | Kadang-kadang,15,9,2,Yes | Ya,3,5,Ignore It | Abaikan,2,No | Tidak,120
1/9/2025 23:07:12,No | Tidak,Above 45 | Lebih daripada 45,Female | Perempuan,Bachelor Degree | Ijazah Sarjana Muda,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),7200,Daily | Harian,Social media | Sosial media,3,Rarely | Jarang,30,3,2,No | Tidak,3,0,Delete it / Block | Sekat,3,Yes | Ya,200
1/9/2025 23:07:16,Yes | Ya,18-25,Male | Lelaki,Diploma,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,16,Rarely | Jarang,30,5,1,No | Tidak,3,0,Delete it / Block | Sekat,3,Yes | Ya,100
1/9/2025 23:07:20,No | Tidak,18-25,Female | Perempuan,Foundation / Matriculation | Asasi / Matriks,Student | Pelajar,0,Daily | Harian,Gaming | Permainan,8,Occasionally | Kadang-kadang,30,5,8,No | Tidak,5,0,Delete it / Block | Sekat,3,Yes | Ya,250
1/9/2025 23:07:24,Yes | Ya,18-25,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,800,Daily | Harian,Social media | Sosial media,10,Rarely | Jarang,50,4,3,Yes | Ya,4,0,Respond and ask for more information | Balas dan minta lebih banyak maklumat,0,Yes | Ya,150
1/9/2025 23:07:27,No | Tidak,18-25,Female | Perempuan,Bachelor Degree | Ijazah Sarjana Muda,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,10,Rarely | Jarang,30,3,4,No | Tidak,2,3,Ignore It | Abaikan,3,Yes | Ya,100
1/9/2025 23:07:31,Yes | Ya,18-25,Female | Perempuan,Foundation / Matriculation | Asasi / Matriks,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,6,Rarely | Jarang,60,4,3,Yes | Ya,2,0,Ignore It | Abaikan,0,No | Tidak,100
1/9/2025 23:07:36,Yes | Ya,18-25,Female | Perempuan,Bachelor Degree | Ijazah Sarjana Muda,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),3500,Daily | Harian,Social media | Sosial media,8,Never | Tidak Pernah,20,2,4,No | Tidak,5,0,Delete it / Block | Sekat,2,Yes | Ya,100
1/9/2025 23:07:40,Yes | Ya,18-25,Male | Lelaki,Secondary School | Sekolah Menengah,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),1530,Daily | Harian,Gaming | Permainan,8,Occasionally | Kadang-kadang,50,4,2,Yes | Ya,1,1,Respond and ask for more information | Balas dan minta lebih banyak maklumat,2,Yes | Ya,300
1/9/2025 23:07:43,Yes | Ya,Above 45 | Lebih daripada 45,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Self-Employed | Bekerja Sendiri,2500,Daily | Harian,Social media | Sosial media,2,Rarely | Jarang,10,4,2,No | Tidak,3,0,Delete it / Block | Sekat,0,Yes | Ya,400
1/9/2025 23:07:47,Yes | Ya,36-45,Female | Perempuan,Bachelor Degree | Ijazah Sarjana Muda,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),6000,Daily | Harian,Social media | Sosial media,5,Rarely | Jarang,15,2,2,Yes | Ya,2,1,Ignore It | Abaikan,3,No | Tidak,100
1/9/2025 23:07:52,Yes | Ya,26-35,Female | Perempuan,Bachelor Degree | Ijazah Sarjana Muda,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),3000,Daily | Harian,Social media | Sosial media,8,Never | Tidak Pernah,20,3,1,No | Tidak,3,1,Delete it / Block | Sekat,5,Yes | Ya,20
1/9/2025 23:07:56,No | Tidak,18-25,Female | Perempuan,Secondary School | Sekolah Menengah,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,3,Never | Tidak Pernah,0,2,0,No | Tidak,0,0,Ignore It | Abaikan,1,Yes | Ya,20
1/9/2025 23:08:00,No | Tidak,18-25,Female | Perempuan,Secondary School | Sekolah Menengah,Student | Pelajar,0,Daily | Harian,Gaming | Permainan,14,Occasionally | Kadang-kadang,0,1,3,No | Tidak,2,6,Ignore It | Abaikan,0,Yes | Ya,100
1/9/2025 23:08:04,Yes | Ya,18-25,Female | Perempuan,Secondary School | Sekolah Menengah,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,4,Rarely | Jarang,24,3,3,No | Tidak,3,0,Ignore It | Abaikan,2,Yes | Ya,50
1/9/2025 23:08:07,No | Tidak,18-25,Female | Perempuan,Secondary School | Sekolah Menengah,Student | Pelajar,0,Rarely | Jarang,Social media | Sosial media,1,Never | Tidak Pernah,0,1,1,No | Tidak,0,0,Ignore It | Abaikan,0,Yes | Ya,0
1/9/2025 23:08:11,No | Tidak,18-25,Female | Perempuan,Secondary School | Sekolah Menengah,Student | Pelajar,0,Ocassionally | Kadang - Kadang,Social media | Sosial media,3,Rarely | Jarang,3,2,1,No | Tidak,4,3,Ignore It | Abaikan,2,Yes | Ya,10
1/9/2025 23:08:15,No | Tidak,18-25,Male | Lelaki,Secondary School | Sekolah Menengah,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,9,Rarely | Jarang,3,2,3,No | Tidak,3,0,Ignore It | Abaikan,1,Yes | Ya,50
1/9/2025 23:08:19,Yes | Ya,Above 45 | Lebih daripada 45,Male | Lelaki,Diploma,Self-Employed | Bekerja Sendiri,5000,Daily | Harian,Social media | Sosial media,3,Frequently | Kerap,202,3,2,No | Tidak,2,3,Ignore It | Abaikan,2,Yes | Ya,100
1/9/2025 23:08:23,No | Tidak,18-25,Female | Perempuan,Secondary School | Sekolah Menengah,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,2,Rarely | Jarang,0,1,3,No | Tidak,3,0,Ignore It | Abaikan,0,Yes | Ya,40
1/9/2025 23:08:27,Yes | Ya,36-45,Female | Perempuan,Secondary School | Sekolah Menengah,Unemployed | Tidak Bekerja,0,Daily | Harian,Social media | Sosial media,8,Occasionally | Kadang-kadang,20,3,1,Yes | Ya,2,0,Ignore It | Abaikan,1,Yes | Ya,100
1/9/2025 23:08:30,No | Tidak,Above 45 | Lebih daripada 45,Male | Lelaki,Diploma,Self-Employed | Bekerja Sendiri,5000,Daily | Harian,Social media | Sosial media,3,Occasionally | Kadang-kadang,20,2,2,No | Tidak,2,3,Ignore It | Abaikan,3,Yes | Ya,300
1/9/2025 23:08:34,Yes | Ya,36-45,Male | Lelaki,Diploma,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),6000,Daily | Harian,Social media | Sosial media,8,Rarely | Jarang,10,3,2,No | Tidak,5,5,Ignore It | Abaikan,6,Yes | Ya,1000
1/9/2025 23:08:38,No | Tidak,36-45,Female | Perempuan,Diploma,Unemployed | Tidak Bekerja,0,Daily | Harian,Social media | Sosial media,6,Rarely | Jarang,16,3,1,No | Tidak,4,0,Delete it / Block | Sekat,0,Yes | Ya,100
1/9/2025 23:08:42,Yes | Ya,Above 45 | Lebih daripada 45,Male | Lelaki,Secondary School | Sekolah Menengah,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),6000,Daily | Harian,Social media | Sosial media,5,Rarely | Jarang,17,3,4,Yes | Ya,7,3,Ignore It | Abaikan,2,Yes | Ya,100
1/9/2025 23:08:46,No | Tidak,Above 45 | Lebih daripada 45,Male | Lelaki,Secondary School | Sekolah Menengah,Unemployed | Tidak Bekerja,0,Daily | Harian,Social media | Sosial media,4,Occasionally | Kadang-kadang,15,3,2,No | Tidak,5,3,Ignore It | Abaikan,3,Yes | Ya,150
1/9/2025 23:08:50,No | Tidak,18-25,Male | Lelaki,Secondary School | Sekolah Menengah,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,7,Never | Tidak Pernah,0,1,1,No | Tidak,1,3,Delete it / Block | Sekat,2,Yes | Ya,0
1/9/2025 23:08:54,Yes | Ya,18-25,Male | Lelaki,Bachelor Degree | Ijazah Sarjana Muda,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),4500,Daily | Harian,Gaming | Permainan,15,Occasionally | Kadang-kadang,20,8,9,Yes | Ya,4,10,Ignore It | Abaikan,2,Yes | Ya,100
1/9/2025 23:08:58,No | Tidak,Above 45 | Lebih daripada 45,Female | Perempuan,Secondary School | Sekolah Menengah,Unemployed | Tidak Bekerja,0,Ocassionally | Kadang - Kadang,Social media | Sosial media,1,Rarely | Jarang,14,1,1,No | Tidak,3,3,Ignore It | Abaikan,0,Yes | Ya,100
1/9/2025 23:09:02,Yes | Ya,Above 45 | Lebih daripada 45,Male | Lelaki,Secondary School | Sekolah Menengah,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),3300,Daily | Harian,Social media | Sosial media,6,Rarely | Jarang,13,3,2,No | Tidak,3,0,Delete it / Block | Sekat,0,Yes | Ya,150
1/9/2025 23:09:06,No | Tidak,36-45,Female | Perempuan,Diploma,Unemployed | Tidak Bekerja,0,Daily | Harian,E-commerce | E-perdagangan,2,Rarely | Jarang,30,1,2,No | Tidak,2,0,Ignore It | Abaikan,0,Yes | Ya,50
1/9/2025 23:09:10,Yes | Ya,18-25,Female | Perempuan,Secondary School | Sekolah Menengah,Student | Pelajar,0,Daily | Harian,Social media | Sosial media,11,Rarely | Jarang,20,3,2,No | Tidak,3,0,Ignore It | Abaikan,1,Yes | Ya,10
1/9/2025 23:09:13,No | Tidak,Above 45 | Lebih daripada 45,Female | Perempuan,Secondary School | Sekolah Menengah,Unemployed | Tidak Bekerja,1000,Daily | Harian,Social media | Sosial media,6,Rarely | Jarang,150,3,0,No | Tidak,3,2,Ignore It | Abaikan,1,Yes | Ya,50
1/9/2025 23:09:17,Yes | Ya,18-25,Male | Lelaki,Secondary School | Sekolah Menengah,Student | Pelajar,0,Daily | Harian,Gaming | Permainan,3,Rarely | Jarang,0,1,1,No | Tidak,2,0,Ignore It | Abaikan,0,Yes | Ya,40
1/9/2025 23:09:21,No | Tidak,36-45,Female | Perempuan,Bachelor Degree | Ijazah Sarjana Muda,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),10000,Daily | Harian,Social media | Sosial media,3,Rarely | Jarang,16,3,1,No | Tidak,4,0,Delete it / Block | Sekat,3,Yes | Ya,200
1/9/2025 23:09:25,Yes | Ya,Above 45 | Lebih daripada 45,Female | Perempuan,Secondary School | Sekolah Menengah,Self-Employed | Bekerja Sendiri,1500,Daily | Harian,Social media | Sosial media,7,Occasionally | Kadang-kadang,17,4,2,No | Tidak,4,3,Ignore It | Abaikan,1,Yes | Ya,100
1/9/2025 23:09:29,Yes | Ya,Above 45 | Lebih daripada 45,Male | Lelaki,Master/PhD | Sarjana/PhD,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),7500,Daily | Harian,Social media | Sosial media,2,Occasionally | Kadang-kadang,30,3,4,Yes | Ya,5,0,Ignore It | Abaikan,0,Yes | Ya,150
1/9/2025 23:09:33,Yes | Ya,Above 45 | Lebih daripada 45,Male | Lelaki,Master/PhD | Sarjana/PhD,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),10000,Daily | Harian,Social media | Sosial media,1,Frequently | Kerap,30,42,2,Yes | Ya,3,8,Ignore It | Abaikan,3,Yes | Ya,5000
1/9/2025 23:09:37,No | Tidak,Above 45 | Lebih daripada 45,Male | Lelaki,Master/PhD | Sarjana/PhD,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),1,Daily | Harian,Social media | Sosial media,6,Rarely | Jarang,12,1,2,No | Tidak,8,1,Delete it / Block | Sekat,4,Yes | Ya,100
1/9/2025 23:09:41,No | Tidak,Above 45 | Lebih daripada 45,Female | Perempuan,Secondary School | Sekolah Menengah,Unemployed | Tidak Bekerja,0,Daily | Harian,Social media | Sosial media,4,Never | Tidak Pernah,100,4,1,No | Tidak,1,0,Delete it / Block | Sekat,0,Yes | Ya,100
1/9/2025 23:09:44,Yes | Ya,Above 45 | Lebih daripada 45,Female | Perempuan,Diploma,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),3000,Daily | Harian,Social media | Sosial media,3,Occasionally | Kadang-kadang,15,3,2,Yes | Ya,3,0,Ignore It | Abaikan,2,Yes | Ya,100
1/9/2025 23:09:48,No | Tidak,Above 45 | Lebih daripada 45,Male | Lelaki,Master/PhD | Sarjana/PhD,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),15000,Daily | Harian,Online banking | Perbankan atas talian,10,Never | Tidak Pernah,15,3,3,No | Tidak,5,0,Delete it / Block | Sekat,5,Yes | Ya,300
1/9/2025 23:09:52,No | Tidak,18-25,Female | Perempuan,Diploma,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),2800,Daily | Harian,Social media | Sosial media,7,Occasionally | Kadang-kadang,25,4,6,No | Tidak,4,0,Ignore It | Abaikan,5,Yes | Ya,200
1/9/2025 23:09:56,Yes | Ya,26-35,Female | Perempuan,Bachelor Degree | Ijazah Sarjana Muda,Employed (Full-time/Part-time) | Bekerja (Sepenuh Masa/Sambilan),5000,Daily | Harian,Social media | Sosial media,7,Rarely | Jarang,10,7,8,Yes | Ya,5,1,Delete it / Block | Sekat,5,No | Tidak,100
1/9/2025 23:10:01,Yes | Ya,Above 45 | Lebih daripada 45,Male | Lelaki,Secondary School | Sekolah Menengah,Retired | Bersara,0,Daily | Harian,Social media | Sosial media,8,Rarely | Jarang,17,3,1,Yes | Ya,5,3,Ignore It | Abaikan,5,Yes | Ya,300
